EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
520,Standalone,Standalone,WELL ABSTRACTION (WABS),Share of the Aqul Water Field,Al Henakiyah,24.417111,39.799444,Out of Service,2010
521,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Mahama water Field (plant 300 m3/d  + 3 well),Al Henakiyah,24.749381,41.604698,Working,2012
522,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hasso  Well 1,Al Henakiyah,24.603525,41.605305,Working,2007
523,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hasso  Well 3,Al Henakiyah,24.602583,41.61025,Out of Service,2007
524,Standalone,Standalone,WELL ABSTRACTION (WABS), Al-Hameej 2,Al Henakiyah,25.030192,41.228997,Working,2015
525,Standalone,Standalone,WELL ABSTRACTION (WABS),Hazra Water Station (300 m3 + 1 well),Al Henakiyah,24.080099,40.477524,Working,2015
526,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-dameeriya Water Station (500 m3 + 1 well),Al Henakiyah,23.937336,40.330616,Working,2015
560,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hasso Well 5,Al Henakiyah,24.598001,41.612034,Working,2018
561,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hasso Well 6,Al Henakiyah,24.596269,41.612141,Out of Service,2018
562,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hasso Well 7,Al Henakiyah,24.594377,41.611532,Out of Service,2018
563,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hameej Well 3,Al Henakiyah,25.031575,41.22825,Out of Service,2020
564,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hameej Well 1,Al Henakiyah,25.029035,41.22657,Working,2015
565,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.2,Al Henakiyah,24.893381,40.413633,Working,2007
566,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.3,Al Henakiyah,24.893627,40.411085,Working,2007
567,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.4,Al Henakiyah,24.895467,40.41038,Working,2007
568,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.5,Al Henakiyah,24.901275,40.411611,Working,2007
569,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.6,Al Henakiyah,24.905765,40.40825,Working,2012
570,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.7,Al Henakiyah,24.891051,40.412657,Working,2012
571,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.8,Al Henakiyah,24.908867,40.4053,Out of Service,2012
572,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.9,Al Henakiyah,24.905617,40.408317,Out of Service,2012
573,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.10,Al Henakiyah,24.90215,40.405717,Out of Service,2012
574,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.11,Al Henakiyah,24.915383,40.397967,Out of Service,2012
575,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.12,Al Henakiyah,24.911767,40.3991,Out of Service,2012
576,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.13,Al Henakiyah,24.913013,40.403055,Working,2012
577,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.15,Al Henakiyah,24.90865,40.408667,Out of Service,2012
578,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.16,Al Henakiyah,24.91525,40.39125,Out of Service,2012
579,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.17,Al Henakiyah,24.908278,40.386778,Out of Service,2012
580,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.18,Al Henakiyah,24.911667,40.384361,Out of Service,2012
581,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.19,Al Henakiyah,24.914694,40.379667,Out of Service,2012
582,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.20,Al Henakiyah,24.918639,40.37325,Out of Service,2012
583,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.21,Al Henakiyah,24.921722,40.36725,Out of Service,2012
584,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.22,Al Henakiyah,24.925472,40.359889,Out of Service,2012
585,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.23,Al Henakiyah,24.931583,40.364194,Out of Service,2012
586,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.24,Al Henakiyah,24.89545,40.407333,Out of Service,2012
587,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.25,Al Henakiyah,24.9116,40.388983,Working,2012
